payment_id,claim_id,payment_date,payment_type,payment_amount,cumulative_paid,reserve_amount,payment_status,check_number,payee_name,expense_type,created_at
PAY-001,CLM-2018-001,2018-10-15,Indemnity,15000.00,15000.00,50000.00,Cleared,CHK-10001,John Smith,Loss Payment,2018-10-15 10:00:00
PAY-002,CLM-2018-001,2018-12-01,Indemnity,20000.00,35000.00,35000.00,Cleared,CHK-10015,John Smith,Loss Payment,2018-12-01 14:30:00
PAY-003,CLM-2018-001,2019-06-15,Indemnity,10000.00,45000.00,25000.00,Cleared,CHK-10089,John Smith,Loss Payment,2019-06-15 09:00:00
PAY-004,CLM-2018-002,2018-10-20,Indemnity,25000.00,25000.00,15000.00,Cleared,CHK-10005,Maria Garcia,Loss Payment,2018-10-20 11:00:00
PAY-005,CLM-2018-002,2019-01-15,Indemnity,15000.00,40000.00,0.00,Cleared,CHK-10045,Maria Garcia,Loss Payment,2019-01-15 15:00:00
PAY-006,CLM-2018-003,2018-11-01,Indemnity,10000.00,10000.00,100000.00,Cleared,CHK-10012,Robert Johnson,Loss Payment,2018-11-01 10:30:00
PAY-007,CLM-2018-003,2019-03-01,Indemnity,15000.00,25000.00,125000.00,Cleared,CHK-10067,Robert Johnson,Loss Payment,2019-03-01 14:00:00
PAY-008,CLM-2018-003,2020-01-15,Indemnity,30000.00,55000.00,150000.00,Cleared,CHK-10234,Robert Johnson,Loss Payment,2020-01-15 11:00:00
PAY-009,CLM-2018-003,2021-06-01,Expense,25000.00,80000.00,175000.00,Cleared,CHK-10456,Mold Remediation Inc,Remediation,2021-06-01 09:30:00
PAY-010,CLM-2018-004,2018-11-15,Indemnity,18000.00,18000.00,12000.00,Cleared,CHK-10025,Sarah Williams,Loss Payment,2018-11-15 10:00:00
PAY-011,CLM-2018-004,2019-02-01,Indemnity,12000.00,30000.00,0.00,Cleared,CHK-10055,Sarah Williams,Loss Payment,2019-02-01 14:00:00
PAY-012,CLM-2018-005,2019-01-15,Indemnity,20000.00,20000.00,200000.00,Cleared,CHK-10048,Michael Brown,Loss Payment,2019-01-15 11:30:00
PAY-013,CLM-2018-005,2020-03-01,Expense,50000.00,70000.00,250000.00,Cleared,CHK-10298,Toxic Mold Specialists,Remediation,2020-03-01 10:00:00
PAY-014,CLM-2018-005,2021-09-15,Expense,35000.00,105000.00,200000.00,Cleared,CHK-10567,Smith & Associates Law,Legal Defense,2021-09-15 14:00:00
PAY-015,CLM-2019-001,2019-07-01,Indemnity,45000.00,45000.00,15000.00,Cleared,CHK-10112,Jennifer Davis,Loss Payment,2019-07-01 09:00:00
PAY-016,CLM-2019-001,2019-10-15,Indemnity,15000.00,60000.00,0.00,Cleared,CHK-10189,Jennifer Davis,Loss Payment,2019-10-15 11:00:00
PAY-017,CLM-2019-002,2019-09-15,Indemnity,8000.00,8000.00,0.00,Cleared,CHK-10156,David Wilson,Loss Payment,2019-09-15 14:30:00
PAY-018,CLM-2020-001,2020-04-15,Indemnity,12000.00,12000.00,25000.00,Cleared,CHK-10312,Lisa Anderson,Loss Payment,2020-04-15 10:00:00
PAY-019,CLM-2020-002,2020-08-01,Expense,15000.00,15000.00,150000.00,Cleared,CHK-10389,Legal Defense Fund,Legal Defense,2020-08-01 11:00:00
PAY-020,CLM-2021-001,2021-10-15,Indemnity,25000.00,25000.00,75000.00,Cleared,CHK-10612,Amanda Martinez,Loss Payment,2021-10-15 09:30:00








